year,month,year_month,chirps_raw_mm,gsmap_raw_mm,era5_t2m_c,era5_tdew_c,era5_rh_pct,era5_ws_ms,era5_sp_hpa,ndvi_mean
2014,1,2014_01,455.21,569.35,24.41,22.32,88.11,1.33,988.37,0.6088
2014,2,2014_02,311.99,285.69,25.02,22.45,85.67,1.18,987.51,0.751
2014,3,2014_03,358.71,217.22,25.27,22.89,86.7,1.04,988.53,0.7079
2014,4,2014_04,292.25,190.0,25.11,22.88,87.43,1.11,988.55,0.6601
2014,5,2014_05,262.68,154.64,25.48,23.2,87.27,1.16,988.47,0.6987
2014,6,2014_06,237.52,188.08,25.06,22.76,87.11,1.33,988.22,0.756
2014,7,2014_07,173.68,346.81,23.84,21.49,86.73,1.74,989.9,0.6839
2014,8,2014_08,57.55,52.97,23.66,20.86,84.35,1.96,990.4,0.669
2014,9,2014_09,15.7,0.03,24.09,20.25,79.12,2.11,990.86,0.6004
2014,10,2014_10,75.28,71.12,24.91,21.39,80.83,1.9,990.01,0.5849
2014,11,2014_11,486.82,376.46,24.96,22.58,86.66,1.27,988.77,0.5088
2014,12,2014_12,493.9,429.87,24.7,22.67,88.5,1.16,988.02,0.5544
2015,1,2015_01,292.75,249.12,24.61,22.36,87.31,1.37,988.78,0.731
2015,2,2015_02,391.52,301.25,24.8,22.48,86.97,1.19,988.9,0.7879
2015,3,2015_03,478.67,252.04,25.02,22.8,87.55,1.12,989.33,0.7318
2015,4,2015_04,312.83,219.9,25.13,23.04,88.2,1.06,988.28,0.6732
2015,5,2015_05,239.85,184.09,24.69,22.31,86.6,1.4,989.72,0.7073
2015,6,2015_06,44.99,38.92,24.18,21.66,85.82,1.78,989.9,0.7808
2015,7,2015_07,29.3,14.01,23.9,20.82,82.92,1.74,990.46,0.6855
2015,8,2015_08,65.59,7.52,23.86,20.08,79.39,2.08,990.91,0.5619
2015,9,2015_09,25.47,0.02,24.4,19.94,76.19,2.19,991.22,0.593
2015,10,2015_10,26.42,0.02,25.83,21.02,74.81,1.89,990.86,0.5436
2015,11,2015_11,278.44,212.27,25.72,22.59,82.85,1.41,988.71,0.5147
2015,12,2015_12,405.34,298.56,25.3,23.1,87.61,1.13,989.15,0.5864
2016,1,2016_01,323.89,242.54,25.92,23.52,86.6,1.03,989.36,0.7235
2016,2,2016_02,327.45,390.42,25.19,23.21,88.78,1.09,989.21,0.702
2016,3,2016_03,252.74,93.2,25.92,23.65,87.3,1.0,989.36,0.7374
2016,4,2016_04,356.8,262.36,25.83,23.71,88.11,0.94,988.73,0.6629
2016,5,2016_05,425.4,211.84,25.9,23.8,88.23,0.98,988.28,0.7036
2016,6,2016_06,340.41,231.9,25.06,22.81,87.35,1.1,989.42,0.796
2016,7,2016_07,302.59,387.34,24.86,22.69,87.76,1.26,988.96,0.7475
2016,8,2016_08,278.78,195.12,24.5,21.92,85.55,1.52,989.14,0.6703
2016,9,2016_09,643.9,488.09,24.99,22.64,86.83,1.31,988.87,0.6344
2016,10,2016_10,799.91,559.84,24.88,22.91,88.84,1.06,988.47,0.6251
2016,11,2016_11,558.68,387.61,25.04,23.02,88.57,1.05,988.24,0.6061
2016,12,2016_12,453.41,433.9,24.85,22.55,87.07,1.54,987.19,0.6038
2017,1,2017_01,380.87,348.28,25.04,22.78,87.32,1.25,987.26,0.6768
2017,2,2017_02,387.57,370.03,24.84,22.66,87.67,1.32,988.21,0.6819
2017,3,2017_03,339.31,168.11,25.15,22.82,86.89,1.17,988.36,0.6579
2017,4,2017_04,389.24,304.66,25.04,22.88,87.84,1.07,988.82,0.6841
2017,5,2017_05,161.14,112.84,25.02,22.76,87.3,1.55,988.88,0.7777
2017,6,2017_06,171.31,161.17,24.7,22.51,87.63,1.38,989.53,0.718
2017,7,2017_07,65.14,40.83,23.69,21.38,86.9,1.99,990.53,0.6891
2017,8,2017_08,30.72,0.05,23.53,20.68,84.02,2.15,990.2,0.6154
2017,9,2017_09,147.2,120.33,24.4,21.18,82.26,2.02,990.17,0.56
2017,10,2017_10,511.78,480.73,24.59,22.49,88.1,1.51,989.06,0.5032
2017,11,2017_11,573.63,254.16,24.75,22.73,88.59,1.29,986.59,0.4195
2017,12,2017_12,433.47,249.95,24.89,22.48,86.48,1.35,987.61,0.6557
2018,1,2018_01,427.91,267.69,24.78,22.53,87.32,1.33,986.14,0.7639
2018,2,2018_02,361.69,400.34,24.7,22.53,87.79,1.27,988.41,0.7215
2018,3,2018_03,328.64,189.45,25.04,22.66,86.66,1.15,987.94,0.6729
2018,4,2018_04,318.57,231.29,25.43,23.15,87.2,1.13,988.09,0.6837
2018,5,2018_05,108.02,23.47,25.04,22.39,85.24,1.61,988.74,0.7477
2018,6,2018_06,34.87,42.73,24.6,21.77,84.25,1.81,989.86,0.7139
2018,7,2018_07,17.22,5.06,23.25,19.86,81.28,1.99,990.16,0.6502
2018,8,2018_08,44.52,0.03,23.47,19.29,77.4,2.21,990.7,0.5774
2018,9,2018_09,52.04,6.79,24.07,20.67,81.34,1.99,990.72,0.5618
2018,10,2018_10,100.04,43.02,25.19,21.42,79.64,1.98,990.25,0.4085
2018,11,2018_11,429.51,342.59,25.08,22.77,87.0,1.36,989.31,0.4767
2018,12,2018_12,340.06,359.24,24.81,22.78,88.51,1.37,988.62,0.4637
2019,1,2019_01,451.64,378.34,25.22,22.96,87.32,1.27,988.52,0.7207
2019,2,2019_02,411.99,367.95,25.24,23.12,88.08,1.02,989.99,0.7665
2019,3,2019_03,570.63,331.25,24.91,22.77,87.91,1.13,989.17,0.7185
2019,4,2019_04,399.21,264.92,25.52,23.41,88.16,1.08,988.39,0.6765
2019,5,2019_05,76.22,91.18,25.12,22.63,86.05,1.67,989.49,0.6952
2019,6,2019_06,15.61,1.43,23.83,20.74,82.86,1.89,990.06,0.7412
2019,7,2019_07,34.63,2.67,23.39,19.98,81.16,2.09,990.9,0.6701
2019,8,2019_08,89.05,0.15,23.47,19.38,77.84,2.17,991.22,0.5714
2019,9,2019_09,14.41,14.78,24.22,19.68,75.79,2.23,991.62,0.5252
2019,10,2019_10,74.35,13.85,25.44,20.85,75.76,2.08,989.82,0.4733
2019,11,2019_11,155.15,86.76,25.53,22.17,81.7,1.58,989.34,0.4978
2019,12,2019_12,468.37,245.22,25.67,23.27,86.59,1.0,988.59,0.6108
2020,1,2020_01,316.63,250.96,25.44,23.2,87.41,1.2,988.98,0.6095
2020,2,2020_02,493.01,377.86,25.46,23.37,88.25,1.08,989.56,0.6988
2020,3,2020_03,568.32,386.13,25.48,23.4,88.3,1.09,989.24,0.7559
2020,4,2020_04,211.11,203.63,25.62,23.49,88.03,1.04,989.48,0.7441
2020,5,2020_05,370.53,315.25,25.58,23.36,87.56,1.21,989.31,0.7067
2020,6,2020_06,66.65,194.58,24.76,22.54,87.52,1.64,989.86,0.7138
2020,7,2020_07,95.44,75.31,23.94,21.38,85.6,1.85,989.72,0.7065
2020,8,2020_08,68.21,38.82,24.25,21.44,84.35,1.87,990.12,0.5954
2020,9,2020_09,106.1,159.69,24.63,21.64,83.44,2.03,990.32,0.5353
2020,10,2020_10,549.52,422.04,24.64,22.45,87.64,1.64,989.37,0.5514
2020,11,2020_11,522.83,481.71,24.96,22.86,88.12,1.28,989.28,0.5916
2020,12,2020_12,562.99,484.0,24.59,22.63,88.86,1.31,987.64,0.5674
2021,1,2021_01,409.71,294.6,24.73,22.49,87.37,1.17,987.67,0.7172
2021,2,2021_02,390.69,532.35,25.05,22.71,86.86,1.33,987.94,0.6239
