year,month,date,nm_kecamatan,mean_ndvi,median_ndvi,min_ndvi,max_ndvi,std_ndvi
2015,11,2015-11,Buluspesantren,0.4770574275362319,0.4698,0.17400000000000002,0.72955,0.10213522964701796
2015,11,2015-11,Ambal,0.4568264028056113,0.46667500000000006,0.1187,0.75665,0.12173084464860909
2015,11,2015-11,Mirit,0.48530289443813857,0.4878,0.0713,0.7595500000000001,0.10443405614547234
2015,11,2015-11,Prembun,0.45660898734177213,0.45895,0.23085,0.81415,0.11003890250632868
2015,11,2015-11,Kutowinangun,0.44877141592920355,0.44185,0.1885,0.75495,0.09707428540293624
2015,11,2015-11,Alian,0.5525471184631804,0.5699500000000001,0.22015,0.8291000000000001,0.11944339403263844
2015,11,2015-11,Kebumen,0.41070006561679795,0.41115,0.18150000000000002,0.7359,0.09577026719227469
2015,11,2015-11,Pejagoan,0.5169636597938145,0.5045999999999999,0.2278,0.78005,0.10982881751249778
2015,11,2015-11,Sruweng,0.4926896900269541,0.49165000000000003,0.17065,0.8277,0.12054652608425546
2015,11,2015-11,Adimulyo,0.4274760445682452,0.4227,0.1421,0.8233,0.10329984062125577
2015,11,2015-11,Kuwarasan,0.4040441126279864,0.397525,0.10425000000000001,0.7484500000000001,0.12200835101354882
2015,11,2015-11,Rowokele,0.549537984496124,0.54825,0.11875000000000001,0.89605,0.14358803340005083
2015,11,2015-11,Sempor,0.5093665634674923,0.5118,0.061200000000000004,0.9168000000000001,0.13682026140719766
2015,11,2015-11,Gombong,0.38037537764350454,0.36605000000000004,0.15285,0.71165,0.10699170432347396
2015,11,2015-11,Karanganyar,0.5180981553398059,0.5324,0.1434,0.82135,0.1362712466074081
2015,11,2015-11,Karanggayam,0.5336133187772926,0.5416500000000001,0.1051,0.8869,0.1178909722933236
2015,11,2015-11,Sadang,0.6211752837977297,0.62955,0.28775,0.89685,0.11124719643988666
2015,11,2015-11,Bonorowo,0.5379215277777778,0.54775,0.29415,0.7119000000000001,0.08806852399409922
2015,11,2015-11,Padureso,0.6266182339449542,0.634675,0.30060000000000003,0.8450000000000001,0.1004129105123894
2015,11,2015-11,Poncowarno,0.5225779120879122,0.5209,0.17435,0.8305,0.11595609130625799
2015,11,2015-11,Karangsambung,0.593267374005305,0.5981000000000001,0.21180000000000002,0.8812000000000001,0.1171484704554976
2015,12,2015-12,Ayah,0.6581198645598194,0.67545,0.0584,0.9527500000000001,0.14526057557398012
2015,12,2015-12,Buayan,0.6161231696428573,0.6569,0.05675,0.9333,0.15001934862188782
2015,12,2015-12,Puring,0.5414073984526112,0.5577000000000001,-0.0162,0.91835,0.2055249673070375
2015,12,2015-12,Petanahan,0.4967723860589813,0.48235,0.0010500000000000002,0.85335,0.18815859024231205
2015,12,2015-12,Klirong,0.556903791130186,0.5749500000000001,0.0415,0.8711500000000001,0.15127176326927122
2015,12,2015-12,Buluspesantren,0.5135191387559809,0.5328,0.0994,0.8904000000000001,0.17430206145919025
2015,12,2015-12,Ambal,0.5136355144855145,0.51825,0.0375,0.85675,0.18245099044961088
2015,12,2015-12,Mirit,0.48996915017462167,0.5083500000000001,-0.08410000000000001,0.8716,0.16515162251594842
2015,12,2015-12,Prembun,0.5286916455696202,0.5392,0.06765,0.81835,0.14922795507468806
2015,12,2015-12,Kutowinangun,0.5227524778761062,0.5291,0.10515000000000001,0.92495,0.16942940815526222
2015,12,2015-12,Alian,0.6789313233724653,0.7029500000000001,0.1409,0.9464,0.14428576213884078
2015,12,2015-12,Kebumen,0.48507500000000003,0.4617,0.21615,0.9242,0.1415227781915238
2015,12,2015-12,Pejagoan,0.6141495704467355,0.63205,0.2023,0.9412,0.13035968557949937
2015,12,2015-12,Sruweng,0.5898760781671158,0.625775,0.15315,0.9177000000000001,0.16257905507197512
2015,12,2015-12,Adimulyo,0.4027483286908078,0.41152500000000003,-0.0436,0.74295,0.14907894521120252
2015,12,2015-12,Kuwarasan,0.4274174914675768,0.43052500000000005,0.064,0.7854,0.16418555677422902
2015,12,2015-12,Rowokele,0.570494130675526,0.58115,0.1067,0.9321,0.14387139496025667
2015,12,2015-12,Sempor,0.6277115479876162,0.6472,0.0189,0.91785,0.12317261116270042
2015,12,2015-12,Gombong,0.43127779456193355,0.41835,0.1428,0.8635,0.14798407406238961
2015,12,2015-12,Karanganyar,0.6326855339805826,0.6995,0.0256,0.921,0.2029681846737646
2015,12,2015-12,Karanggayam,0.6939383460698689,0.7092,0.0984,0.9271,0.108092360330088
2015,12,2015-12,Sadang,0.6737243550051599,0.6767000000000001,0.21905000000000002,0.9533,0.12951084827005968
2015,12,2015-12,Bonorowo,0.4557643055555556,0.46020000000000005,0.05165,0.7964,0.1439631765111635
2015,12,2015-12,Padureso,0.6944319954128441,0.704975,0.3347,0.8935000000000001,0.11968434498238426
2015,12,2015-12,Poncowarno,0.6575484615384616,0.67435,0.26915,0.8616,0.11499161301402464
2015,12,2015-12,Karangsambung,0.690160875331565,0.70675,0.25265,0.9742500000000001,0.11798641579196897
2016,1,2016-01,Ayah,0.7149535120845922,0.7427,0.1316,0.95265,0.12143223604248815
2016,1,2016-01,Buayan,0.754469265232975,0.7754500000000001,0.2237,0.92795,0.09584658232772081
2016,1,2016-01,Puring,0.690805638722555,0.724475,0.0597,0.9484,0.14261968869841343
2016,1,2016-01,Petanahan,0.7467726960110042,0.76315,-0.0495,0.9697,0.09880258901621894
2016,1,2016-01,Klirong,0.735953323699422,0.7594000000000001,0.0039000000000000003,0.91805,0.1162050055715238
2016,1,2016-01,Buluspesantren,0.7455560843373495,0.7749,0.2159,0.9313,0.11930649053115408
2016,1,2016-01,Ambal,0.7663570630081301,0.7750250000000001,0.1469,0.9424,0.08522699415046187
2016,1,2016-01,Mirit,0.6997001137656427,0.7188,0.23600000000000002,0.9004000000000001,0.1101070232027747
2016,1,2016-01,Prembun,0.7217651898734178,0.7499,0.2393,0.8621000000000001,0.09859198402289886
2016,1,2016-01,Kutowinangun,0.7563296460176993,0.7786000000000001,0.36695,0.90585,0.08635945844892448
2016,1,2016-01,Alian,0.7492814834578442,0.7739,0.27585000000000004,0.9236000000000001,0.09989487193488929
2016,1,2016-01,Kebumen,0.6103074146981627,0.605975,0.17200000000000001,0.89105,0.14243969846095197
2016,1,2016-01,Pejagoan,0.7031831615120275,0.7135750000000001,0.2932,0.91435,0.12155558869333061
2016,1,2016-01,Sruweng,0.7308251347708895,0.7669250000000001,0.2348,0.87755,0.11732046462629649
2016,1,2016-01,Adimulyo,0.5828564763231198,0.60185,0.16025,0.9,0.13997912208723665
2016,1,2016-01,Kuwarasan,0.5875264505119454,0.6214999999999999,0.15535000000000002,0.802,0.12777976470453847
2016,1,2016-01,Rowokele,0.7091146179401994,0.73565,0.27325,0.906,0.10590703008864061
2016,1,2016-01,Sempor,0.7470988235294118,0.7746500000000001,0.16645000000000001,0.9670500000000001,0.11405588692509111
2016,1,2016-01,Gombong,0.627041087613293,0.6334500000000001,0.39730000000000004,0.85595,0.07788198963038173
2016,1,2016-01,Karanganyar,0.7397072815533982,0.77185,0.26695,0.93915,0.12643790144852585
2016,1,2016-01,Karanggayam,0.7572142467248908,0.799,0.25425000000000003,0.9495,0.11916279263265596
2016,1,2016-01,Sadang,0.760178689370485,0.7714500000000001,0.38955,0.9762500000000001,0.11201798871661224
2016,1,2016-01,Bonorowo,0.5561995833333333,0.589225,0.029750000000000002,0.8023,0.1486421050098889
2016,1,2016-01,Padureso,0.7970465596330275,0.806125,0.5134000000000001,0.9163,0.06266873067708996
2016,1,2016-01,Poncowarno,0.7752150549450549,0.7886000000000001,0.53335,0.90295,0.07143835288106536
2016,1,2016-01,Karangsambung,0.7677235632183909,0.7814500000000001,0.28905000000000003,0.9526,0.09592778522143182
2016,2,2016-02,Ayah,0.6367082505729564,0.63475,0.0425,0.9696,0.1279486480735359
2016,2,2016-02,Buayan,0.7691984834968778,0.79905,0.32805,0.9696,0.11120300182952912
2016,2,2016-02,Puring,0.7170502915451895,0.7382000000000001,0.1348,0.9868,0.10745470937774809
2016,2,2016-02,Petanahan,0.7348997959183675,0.7502500000000001,0.161,0.92735,0.09578146883435854
2016,2,2016-02,Klirong,0.7082482988165681,0.713425,0.13090000000000002,0.9420000000000001,0.11008209967766446
2016,2,2016-02,Buluspesantren,0.6910398876404494,0.6880000000000001,0.109,0.92945,0.13342470681390642
2016,2,2016-02,Ambal,0.742743646944714,0.77175,0.012700000000000001,0.9368000000000001,0.1203381365387277
2016,2,2016-02,Mirit,0.7520894374282435,0.77715,0.1978,0.9127500000000001,0.10356436163539286
2016,2,2016-02,Prembun,0.7392654430379747,0.7421,0.4092,0.9318500000000001,0.09007726550863197
2016,2,2016-02,Kutowinangun,0.6786951327433629,0.681,0.4077,0.8924500000000001,0.07895740650934209
2016,2,2016-02,Alian,0.6797655282817503,0.68435,0.24530000000000002,0.9215000000000001,0.09345703392202288
2016,2,2016-02,Kebumen,0.6168330052493439,0.6383000000000001,0.3069,0.81615,0.0944290380736755
2016,2,2016-02,Pejagoan,0.6348956185567011,0.6253,0.1729,0.9084500000000001,0.10500474708077304
2016,2,2016-02,Sruweng,0.6955693396226417,0.7024,0.37570000000000003,0.9333,0.10161756661612054
2016,2,2016-02,Adimulyo,0.7789542479108637,0.7886000000000001,0.5878,0.91715,0.07182302971093436
2016,2,2016-02,Kuwarasan,0.8131680034129694,0.8190500000000001,0.5271,0.9390000000000001,0.05867586539748122
